ScoredTests,"administer test to homework"
SDEProblemLibrary,"differential equations"
SequencerJ,"finds trends in one-dimensional datasets"
SimpleByteStuffing,"ultrasound"
SimpleMock,"kind of broken after 1.6"
SimradEK60TestData,"test data for SimradEK60"
Snowflake,"quantum circuits"
Snowflurry,"quantum circuits"
SolverTest,"optimizers"
SplitClusterTest,"statistics clustering"
SplittablesTesting,"tests the SplittablesBase for parallel computations"
Strategems,"trading"
StressTest,"stress testing convenience functions"
SyntheticObjects,"makes test image data"
TestContexts,gone
TestDatasets,"image datasets"
TestHandcalcFunctions,"tests HandCalcs.jl"
TestImage2,"image testing"
TestItemDetection,"low level from testitemrunner"
TestItems,"again for testitemrunner"
TestLandscapes,"potential energy landscapes"
TestParticle,"electromagnetic"
TestParticleMakie,"visualization"
TestsForCodecPackages,"for codecs"
TestU01_jl,"test random number generators"
TimeseriesSurrogates,"time series statistics"
Trading,"trading"
TropicalGEMM,"GPU"
Txtar,"txtar format"
Unmarshal,"json unmarshalling"
VarianceComponentModels,"statistics"
WildBootTests,"statistics"
WinEncoding,"string encoding"
Xicor,"Statistics"
ZygoteStructArrays,"rules for adjoint struct arrays"
